RANK,YEAR,STATE,COMMUTETIME,PUBLICTRANSITUSAGE,ROADQUALITY,BRIDGEQUALITY
42,2019,AL,50,48,32,18
21,2019,AK,8,20,35,36
10,2019,AZ,32,21,24,4
27,2019,AR,10,47,36,17
41,2019,CA,46,9,48,19
20,2019,CO,33,14,32,13
37,2019,CT,35,19,43,24
3,2019,DE,36,6,22,6
7,2019,FL,41,18,7,3
18,2019,GA,44,24,1,7
31,2019,HI,38,7,47,15
28,2019,ID,9,45,28,28
24,2019,IL,45,5,25,26
23,2019,IN,17,34,11,21
39,2019,IA,7,33,17,49
11,2019,KS,6,37,21,25
15,2019,KY,16,32,4,23
45,2019,LA,31,35,33,44
42,2019,ME,21,42,27,41
22,2019,MD,49,3,23,14
40,2019,MA,46,8,45,30
34,2019,MI,23,27,30,35
4,2019,MN,20,11,15,11
46,2019,MS,27,50,39,39
36,2019,MO,19,25,29,40
9,2019,MT,4,46,10,31
25,2019,NE,5,41,6,45
1,2019,NV,22,10,16,2
44,2019,NH,40,31,34,38
38,2019,NJ,48,2,46,29
30,2019,NM,14,30,44,20
16,2019,NY,50,1,26,37
29,2019,NC,27,26,12,34
13,2019,ND,1,39,5,43
14,2019,OH,17,23,18,18
43,2019,OK,11,44,42,42
5,2019,OR,23,16,8,12
48,2019,PA,39,12,41,46
50,2019,RI,29,17,49,50
35,2019,SC,25,40,20,32
33,2019,SD,2,48,14,47
8,2019,TN,29,28,2,8
47,2019,TX,36,22,50,1
2,2019,UT,12,13,31,5
17,2019,VT,15,38,19,10
19,2019,VA,43,15,9,16
12,2019,WA,42,4,37,9
49,2019,WV,34,36,40,48
32,2019,WI,13,29,38,27
6,2019,WY,3,49,3,33
21,2016,AK,8,20,35,36
10,2016,AZ,32,21,24,4
27,2016,AR,10,47,36,17
41,2016,CA,46,9,48,19
20,2016,CO,33,14,32,13
37,2016,CT,35,19,43,24
3,2016,DE,36,6,22,6
7,2016,FL,41,18,7,3
18,2016,GA,44,24,1,7
31,2016,HI,38,7,47,15
28,2016,ID,9,45,28,28
24,2016,IL,45,5,25,26
23,2016,IN,17,34,11,21
39,2016,IA,7,33,17,49
11,2016,KS,6,37,21,25
15,2016,KY,16,32,4,23
45,2016,LA,31,35,33,44
42,2016,ME,21,42,27,41
22,2016,MD,49,3,23,14
40,2016,MA,46,8,45,30
34,2016,MI,23,27,30,35
4,2016,MN,20,11,15,11
46,2016,MS,27,50,39,39
36,2016,MO,19,25,29,40
9,2016,MT,4,46,10,31
25,2016,NE,5,41,6,45
1,2016,NV,22,10,16,2
44,2016,NH,40,31,34,38
38,2016,NJ,48,2,46,29
30,2016,NM,14,30,44,20
16,2016,NY,50,1,26,37
29,2016,NC,27,26,12,34
13,2016,ND,1,39,5,43
14,2016,OH,17,23,18,18
43,2016,OK,11,44,42,42
5,2016,OR,23,16,8,12
48,2016,PA,39,12,41,46
50,2016,RI,29,17,49,50
35,2016,SC,25,40,20,32
33,2016,SD,2,48,14,47
8,2016,TN,29,28,2,8
47,2016,TX,36,22,50,1
2,2016,UT,12,13,31,5
17,2016,VT,15,38,19,10
19,2016,VA,43,15,9,16
12,2016,WA,42,4,37,9
49,2016,WV,34,36,40,48
32,2016,WI,13,29,38,27
6,2016,WY,3,49,3,33
21,2017,AK,8,20,35,36
10,2017,AZ,32,21,24,4
27,2017,AR,10,47,36,17
41,2017,CA,46,9,48,19
20,2017,CO,33,14,32,13
37,2017,CT,35,19,43,24
3,2017,DE,36,6,22,6
7,2017,FL,41,18,7,3
18,2017,GA,44,24,1,7
31,2017,HI,38,7,47,15
28,2017,ID,9,45,28,28
24,2017,IL,45,5,25,26
23,2017,IN,17,34,11,21
39,2017,IA,7,33,17,49
11,2017,KS,6,37,21,25
15,2017,KY,16,32,4,23
45,2017,LA,31,35,33,44
42,2017,ME,21,42,27,41
22,2017,MD,49,3,23,14
40,2017,MA,46,8,45,30
34,2017,MI,23,27,30,35
4,2017,MN,20,11,15,11
46,2017,MS,27,50,39,39
36,2017,MO,19,25,29,40
9,2017,MT,4,46,10,31
25,2017,NE,5,41,6,45
1,2017,NV,22,10,16,2
44,2017,NH,40,31,34,38
38,2017,NJ,48,2,46,29
30,2017,NM,14,30,44,20
16,2017,NY,50,1,26,37
29,2017,NC,27,26,12,34
13,2017,ND,1,39,5,43
14,2017,OH,17,23,18,18
43,2017,OK,11,44,42,42
5,2017,OR,23,16,8,12
48,2017,PA,39,12,41,46
50,2017,RI,29,17,49,50
35,2017,SC,25,40,20,32
33,2017,SD,2,48,14,47
8,2017,TN,29,28,2,8
47,2017,TX,36,22,50,1
2,2017,UT,12,13,31,5
17,2017,VT,15,38,19,10
19,2017,VA,43,15,9,16
12,2017,WA,42,4,37,9
49,2017,WV,34,36,40,48
32,2017,WI,13,29,38,27
6,2017,WY,3,49,3,33
21,2018,AK,8,20,35,36
10,2018,AZ,32,21,24,4
27,2018,AR,10,47,36,17
41,2018,CA,46,9,48,19
20,2018,CO,33,14,32,13
37,2018,CT,35,19,43,24
3,2018,DE,36,6,22,6
7,2018,FL,41,18,7,3
18,2018,GA,44,24,1,7
31,2018,HI,38,7,47,15
28,2018,ID,9,45,28,28
24,2018,IL,45,5,25,26
23,2018,IN,17,34,11,21
39,2018,IA,7,33,17,49
11,2018,KS,6,37,21,25
15,2018,KY,16,32,4,23
45,2018,LA,31,35,33,44
42,2018,ME,21,42,27,41
22,2018,MD,49,3,23,14
40,2018,MA,46,8,45,30
34,2018,MI,23,27,30,35
4,2018,MN,20,11,15,11
46,2018,MS,27,50,39,39
36,2018,MO,19,25,29,40
9,2018,MT,4,46,10,31
25,2018,NE,5,41,6,45
1,2018,NV,22,10,16,2
44,2018,NH,40,31,34,38
38,2018,NJ,48,2,46,29
30,2018,NM,14,30,44,20
16,2018,NY,50,1,26,37
29,2018,NC,27,26,12,34
13,2018,ND,1,39,5,43
14,2018,OH,17,23,18,18
43,2018,OK,11,44,42,42
5,2018,OR,23,16,8,12
48,2018,PA,39,12,41,46
50,2018,RI,29,17,49,50
35,2018,SC,25,40,20,32
33,2018,SD,2,48,14,47
8,2018,TN,29,28,2,8
47,2018,TX,36,22,50,1
2,2018,UT,12,13,31,5
17,2018,VT,15,38,19,10
19,2018,VA,43,15,9,16
12,2018,WA,42,4,37,9
49,2018,WV,34,36,40,48
32,2018,WI,13,29,38,27
6,2018,WY,3,49,3,33